Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8034066713981547,0.6465256797583081,0.5721925133689839,0.6070921985815603
Random Forest,0.7885024840312278,0.6210191082802548,0.5213903743315508,0.5668604651162791
